,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
1266,Nassir Little,POR,PF,2105520.0,12241.4,19,9.6,172.0,48.0,573.0,22.0,13.0,14.0
1267,Terrence Ross,ORL,SG,12500000.0,12303.15,28,14.0,1016.0,69.0,1889.0,82.0,77.0,24.0
1268,Skal Labissière,POR,C,2338847.0,12309.72,23,15.4,190.0,33.0,567.0,42.0,7.0,31.0
1269,Wilson Chandler,BRK,SF,2564753.0,12510.99,32,7.4,205.0,35.0,734.0,39.0,16.0,12.0
1270,Kentavious Caldwell-Pope,LAL,SG,8089282.0,12541.52,26,11.0,645.0,69.0,1762.0,111.0,57.0,14.0
1271,Frank Kaminsky,PHO,C,4767000.0,12611.11,26,14.2,378.0,39.0,777.0,75.0,14.0,10.0
1272,Dennis Schröder,OKC,PG,15500000.0,12611.88,26,16.7,1229.0,65.0,1999.0,262.0,45.0,14.0
1273,Keldon Johnson,SAS,SF,1950600.0,12666.23,20,19.1,154.0,17.0,301.0,15.0,14.0,2.0
1274,Thon Maker,DET,C,3569643.0,12703.36,22,13.7,281.0,60.0,776.0,43.0,25.0,39.0
1275,Zach LaVine,CHI,SG,19500000.0,12745.1,24,19.4,1530.0,60.0,2085.0,254.0,88.0,28.0
1276,Robert Williams,BOS,C,1937520.0,12916.8,22,23.1,150.0,29.0,388.0,27.0,22.0,35.0
1277,Thomas Bryant,WAS,C,7936508.0,13032.03,22,21.1,609.0,46.0,1147.0,83.0,25.0,49.0
1278,Edmond Sumner,IND,PG,2000000.0,13157.89,24,10.1,152.0,31.0,447.0,55.0,15.0,9.0
1279,Isaiah Hartenstein,HOU,C,1416852.0,13241.61,21,18.6,107.0,23.0,266.0,18.0,9.0,12.0
1280,Bojan Bogdanović,UTA,SF,17000000.0,13333.33,30,15.6,1275.0,63.0,2083.0,131.0,34.0,7.0
1281,Robin Lopez,MIL,C,4767000.0,13352.94,31,10.2,357.0,66.0,958.0,45.0,10.0,45.0
1282,Josh Richardson,PHI,SG,10100000.0,13377.48,26,12.0,755.0,55.0,1693.0,162.0,52.0,36.0
1283,Quinn Cook,LAL,PG,3000000.0,13392.86,26,10.0,224.0,44.0,508.0,49.0,12.0,2.0
1284,Sekou Doumbouya,DET,SF,3285120.0,13519.01,19,6.2,243.0,38.0,754.0,19.0,20.0,8.0
1285,Frank Ntilikina,NYK,PG,4855800.0,13601.68,21,9.8,357.0,57.0,1187.0,172.0,54.0,16.0
1286,Nicolas Claxton,BRK,PF,898310.0,13610.76,20,14.8,66.0,15.0,187.0,16.0,1.0,8.0
1287,Trey Lyles,SAS,PF,5500000.0,13613.86,24,12.6,404.0,63.0,1271.0,69.0,28.0,28.0
1288,Deonte Burton,OKC,SG,1416852.0,13623.58,26,4.3,104.0,39.0,356.0,17.0,7.0,10.0
1289,Denzel Valentine,CHI,SF,3377569.0,13729.96,26,13.0,246.0,36.0,488.0,43.0,26.0,6.0
1290,Deandre Ayton,PHO,C,9562920.0,13859.3,21,20.0,690.0,38.0,1236.0,72.0,26.0,58.0
1291,Giannis Antetokounmpo,MIL,PF,25842697.0,13916.37,25,31.9,1857.0,63.0,1917.0,354.0,61.0,66.0
1292,Evan Fournier,ORL,SG,17000000.0,13923.01,27,16.4,1221.0,66.0,2076.0,209.0,71.0,15.0
1293,Khem Birch,ORL,C,3000000.0,14150.94,27,11.7,212.0,48.0,922.0,50.0,20.0,23.0
1294,Kris Dunn,CHI,PG,5348007.0,14337.82,25,12.1,373.0,51.0,1269.0,173.0,101.0,17.0
1295,Jonathan Isaac,ORL,SF,5806440.0,14372.38,22,17.3,404.0,34.0,980.0,48.0,53.0,78.0
1296,Julius Randle,NYK,PF,18000000.0,14423.08,25,17.5,1248.0,64.0,2080.0,198.0,51.0,22.0
1297,Yogi Ferrell,SAC,PG,3150000.0,14449.54,26,12.2,218.0,50.0,530.0,69.0,18.0,4.0
1298,Devin Booker,PHO,SG,27250000.0,14626.95,23,20.6,1863.0,70.0,2512.0,456.0,49.0,18.0
1299,J.J. Redick,NOP,SG,13486300.0,14706.98,35,15.4,917.0,60.0,1581.0,119.0,20.0,10.0
1300,Will Barton,DEN,SF,12960000.0,14828.38,29,15.6,874.0,58.0,1916.0,212.0,61.0,29.0
1301,Brook Lopez,MIL,C,12093024.0,14874.57,31,15.0,813.0,68.0,1817.0,99.0,46.0,163.0
1302,Damian Lillard,POR,PG,29802321.0,15066.9,29,26.9,1978.0,66.0,2474.0,530.0,70.0,22.0
1303,Marko Guduric,MEM,SG,2625000.0,15173.41,24,8.8,173.0,44.0,484.0,45.0,12.0,8.0
1304,Alen Smailagić,GSW,PF,898310.0,15225.59,19,14.5,59.0,14.0,139.0,13.0,3.0,4.0
1305,Jonas Valančiūnas,MEM,C,16000000.0,15325.67,27,22.2,1044.0,70.0,1845.0,131.0,30.0,76.0
1306,Tomáš Satoranský,CHI,PG,10000000.0,15527.95,28,13.5,644.0,65.0,1878.0,354.0,80.0,7.0
1307,Bradley Beal,WAS,SG,27093019.0,15561.76,26,23.2,1741.0,57.0,2053.0,347.0,71.0,23.0
1308,David Nwaba,BRK,SF,1678854.0,16142.83,27,14.0,104.0,20.0,268.0,8.0,11.0,12.0
1309,Marcus Smart,BOS,SG,12553471.0,16177.15,25,13.8,776.0,60.0,1919.0,291.0,101.0,29.0
1310,James Harden,HOU,SG,37800000.0,16188.44,30,29.1,2335.0,68.0,2483.0,512.0,125.0,60.0
