,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
1450,Tyson Chandler,HOU,C,2564753.0,75433.91,37,10.8,34.0,26.0,219.0,6.0,6.0,8.0
1451,Victor Oladipo,IND,SG,21000000.0,76363.64,27,11.3,275.0,19.0,528.0,56.0,17.0,4.0
1452,Marc Gasol,TOR,C,25595700.0,77328.4,35,11.8,331.0,44.0,1161.0,147.0,34.0,38.0
1453,Troy Daniels,DEN,SG,2028594.0,78022.85,28,9.0,26.0,6.0,76.0,3.0,3.0,0.0
1454,Marcus Morris,LAC,PF,15000000.0,78125.0,30,8.9,192.0,19.0,549.0,27.0,13.0,13.0
1455,Joe Chealey,CHO,PG,163356.0,81678.0,24,-2.9,2.0,4.0,33.0,1.0,4.0,0.0
1456,Max Strus,CHI,SG,415414.0,83082.8,23,30.7,5.0,2.0,6.0,0.0,0.0,0.0
1457,Jusuf Nurkić,POR,C,12000000.0,85106.38,25,22.6,141.0,8.0,253.0,32.0,11.0,16.0
1458,J.R. Smith,LAL,SG,1456667.0,85686.29,34,0.0,17.0,6.0,79.0,3.0,1.0,0.0
1459,Vlatko Čančar,DEN,SF,1517981.0,89293.0,22,11.4,17.0,14.0,45.0,3.0,1.0,1.0
1460,Jalen Lecque,PHO,PG,898310.0,89831.0,19,2.7,10.0,5.0,32.0,2.0,0.0,0.0
1461,James Johnson,MIN,PF,15349400.0,91365.48,32,11.1,168.0,14.0,338.0,53.0,19.0,19.0
1462,Ed Davis,UTA,C,4767000.0,93470.59,30,9.5,51.0,28.0,303.0,12.0,11.0,9.0
1463,Cristiano Felício,CHI,PF,8156500.0,94843.02,27,12.8,86.0,22.0,386.0,16.0,10.0,2.0
1464,Amile Jefferson,ORL,PF,1445697.0,96379.8,26,8.9,15.0,18.0,74.0,4.0,1.0,3.0
1465,Jeff Teague,ATL,PG,19000000.0,98445.6,31,15.9,193.0,25.0,519.0,100.0,19.0,6.0
1466,Justise Winslow,MIA,SF,13000000.0,104838.71,23,8.5,124.0,11.0,352.0,44.0,7.0,5.0
1467,D'Angelo Russell,MIN,PG,27285000.0,104942.31,23,19.1,260.0,12.0,392.0,79.0,17.0,4.0
1468,Nigel Williams-Goss,UTA,PG,1500000.0,107142.86,25,8.1,14.0,10.0,50.0,6.0,3.0,1.0
1469,Reggie Jackson,LAC,PG,17286956.0,107372.4,29,13.7,161.0,17.0,362.0,54.0,5.0,4.0
1470,Andrew Wiggins,GSW,SG,27504630.0,118045.62,24,17.5,233.0,12.0,403.0,43.0,16.0,17.0
1471,Al-Farouq Aminu,ORL,PF,9258000.0,118692.31,29,7.6,78.0,18.0,380.0,21.0,18.0,8.0
1472,Courtney Lee,DAL,SG,12759670.0,119249.25,34,10.8,107.0,24.0,345.0,12.0,18.0,6.0
1473,Blake Griffin,DET,PF,34234964.0,122705.96,30,11.9,279.0,18.0,512.0,59.0,7.0,7.0
1474,Tyler Zeller,SAS,C,245686.0,122843.0,30,22.4,2.0,2.0,4.0,0.0,0.0,0.0
1475,DeMarre Carroll,HOU,PF,6842307.0,126709.39,33,4.9,54.0,9.0,155.0,14.0,6.0,3.0
1476,Jabari Parker,SAC,PF,6500000.0,127450.98,24,26.5,51.0,6.0,80.0,10.0,3.0,1.0
1477,John Henson,DET,PF,9732396.0,128057.84,29,17.0,76.0,11.0,188.0,11.0,8.0,10.0
1478,KZ Okpala,MIA,SF,898310.0,128330.0,20,13.7,7.0,5.0,26.0,1.0,2.0,1.0
1479,Gorgui Dieng,MEM,C,16229213.0,131944.82,30,17.8,123.0,17.0,318.0,15.0,14.0,17.0
1480,C.J. Miles,WAS,SG,8730158.0,136408.72,32,11.1,64.0,10.0,161.0,12.0,10.0,4.0
1481,Maurice Harkless,NYK,SF,11511234.0,140380.9,26,9.7,82.0,12.0,286.0,20.0,9.0,3.0
1482,Dion Waiters,LAL,SG,12100000.0,145783.13,28,11.5,83.0,7.0,165.0,17.0,4.0,4.0
1483,Brandon Knight,DET,PG,15643750.0,150420.67,28,5.4,104.0,9.0,221.0,38.0,5.0,1.0
1484,Noah Vonleh,DEN,PF,2000000.0,153846.15,24,15.3,13.0,7.0,30.0,2.0,0.0,0.0
1485,Jordan Bell,MEM,PF,1620564.0,162056.4,25,14.1,10.0,2.0,21.0,2.0,1.0,0.0
1486,Otto Porter,CHI,SF,27250576.0,163177.1,26,15.8,167.0,14.0,331.0,25.0,15.0,6.0
1487,Dewayne Dedmon,ATL,C,13333334.0,164609.06,30,11.4,81.0,10.0,233.0,7.0,10.0,15.0
1488,Luka Šamanić,SAS,PF,2689920.0,168120.0,20,8.8,16.0,3.0,48.0,6.0,0.0,2.0
1489,Andre Iguodala,MIA,SG,17185185.0,179012.34,36,10.5,96.0,21.0,418.0,51.0,14.0,21.0
1490,Justin Patton,OKC,C,1620564.0,180062.67,22,4.7,9.0,5.0,24.0,2.0,0.0,0.0
1491,Andre Drummond,CLE,C,27093019.0,193521.56,26,22.1,140.0,8.0,225.0,14.0,12.0,11.0
1492,Tyler Johnson,BRK,SG,19245370.0,200472.6,27,15.6,96.0,8.0,194.0,24.0,4.0,1.0
1493,Udonis Haslem,MIA,PF,2564753.0,213729.42,39,6.5,12.0,4.0,44.0,1.0,0.0,0.0
1494,Marvin Williams,MIL,PF,15006250.0,220680.15,33,11.2,68.0,17.0,321.0,19.0,10.0,8.0
1495,Solomon Hill,MIA,SF,13258781.0,270587.37,28,9.8,49.0,11.0,187.0,10.0,12.0,5.0
1496,Jonah Bolden,PHO,PF,1698450.0,283075.0,24,4.9,6.0,3.0,33.0,0.0,2.0,2.0
1497,Evan Turner,ATL,PG,18606557.0,300105.76,31,6.8,62.0,19.0,251.0,38.0,9.0,8.0
1498,Nicolas Batum,CHO,SF,25565217.0,323610.34,31,9.2,79.0,22.0,505.0,66.0,17.0,8.0
1499,Zhaire Smith,PHI,SG,3058800.0,382350.0,20,1.1,8.0,7.0,32.0,2.0,3.0,0.0
1500,Stephen Curry,GSW,PG,40231758.0,386843.83,31,21.7,104.0,5.0,139.0,33.0,5.0,2.0
1501,Joakim Noah,LAC,C,6431666.0,459404.71,34,11.1,14.0,5.0,50.0,7.0,1.0,1.0
1502,Derrick Walton,DET,PG,1445697.0,481899.0,24,11.3,3.0,3.0,26.0,5.0,3.0,0.0
1503,Andre Roberson,OKC,SG,10740741.0,537037.05,28,5.4,20.0,7.0,87.0,4.0,1.0,3.0
1504,Allen Crabbe,MIN,SG,17818456.0,614429.52,27,6.0,29.0,9.0,131.0,5.0,0.0,0.0
1505,Jarred Vanderbilt,MIN,PF,1416852.0,708426.0,20,11.1,2.0,2.0,5.0,0.0,0.0,0.0
1506,Ryan Anderson,HOU,C,5214583.0,1042916.6,31,9.4,5.0,2.0,14.0,2.0,1.0,0.0
1507,Michael Kidd-Gilchrist,DAL,SF,13000000.0,1083333.33,26,1.7,12.0,13.0,121.0,4.0,2.0,3.0
1508,Chandler Parsons,ATL,SF,25102511.0,1793036.5,31,5.6,14.0,5.0,54.0,3.0,4.0,1.0
1509,Jacob Evans,MIN,SG,1925880.0,inf,22,5.5,0.0,2.0,4.0,0.0,0.0,0.0
1510,Stanton Kidd,UTA,SF,250000.0,inf,27,-13.7,0.0,4.0,15.0,1.0,0.0,0.0
1511,J.P. Macura,CLE,SG,81678.0,inf,24,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1512,Isaiah Roby,OKC,SF,1500000.0,inf,21,-7.7,0.0,3.0,11.0,0.0,0.0,0.0
1513,Marques Bolden,CLE,C,50752.0,inf,21,19.8,0.0,1.0,3.0,0.0,1.0,0.0
1514,William Howard,HOU,PF,50000.0,inf,26,-12.7,0.0,2.0,13.0,1.0,0.0,0.0
